"TIME","F1","F2","Y"
1,1,1,236.92999267578125
1,1,1,237.23267235844807
1,1,1,236.75255574220526
1,1,1,238.00500147944751
1,1,1,238.69894335547593
2,1,1,239.6699981689453
2,1,1,240.17267432736745
2,1,1,240.57296907187018
2,1,1,239.51867186092036
2,1,1,239.18875181984376
3,1,1,239.6699981689453
3,1,1,239.59441072232997
3,1,1,239.72368555537807
3,1,1,239.8955677427716
3,1,1,241.20751119590372
4,1,1,237.7823703122834
4,1,1,237.55221028222985
4,1,1,237.37343866032515
4,1,1,237.20388889115617
4,1,1,238.40853643667765
5,1,1,237.4600067138672
5,1,1,237.2325730987348
5,1,1,237.20298205235255
5,1,1,236.04622664525172
5,1,1,237.6429379102514
6,1,1,237.8300018310547
6,1,1,240.70730025266738
6,1,1,236.9206429406934
6,1,1,238.41242395176826
6,1,1,237.47105392401497
7,1,1,238.66000366210937
7,1,1,238.33786062097468
7,1,1,237.02738636869466
7,1,1,236.05247454398682
7,1,1,237.65745755076838
8,1,1,238.67999267578125
8,1,1,239.36074982726944
8,1,1,238.31707247736054
8,1,1,239.89215689453485
8,1,1,239.26602323736861
9,1,1,237.97999572753906
9,1,1,238.21779041868632
9,1,1,240.40757070239317
9,1,1,236.3525466156174
9,1,1,237.84211347018416
10,1,1,238.02999877929687
10,1,1,237.4772465942487
10,1,1,238.30697079874068
10,1,1,239.17886160886678
10,1,1,239.81724699959477
11,1,1,237.7100067138672
11,1,1,238.86793051475073
11,1,1,238.7933688108606
11,1,1,237.77497240099177
11,1,1,237.6117884977948
12,1,1,237.94000244140625
12,1,1,238.23510404275683
12,1,1,238.48523865007925
12,1,1,239.13048367025124
12,1,1,239.90641878298274
13,1,1,236.0399932861328
13,1,1,236.70502864288144
13,1,1,238.31331204578763
13,1,1,235.61877029537112
13,1,1,236.5368959049412
14,1,1,232.30999755859375
14,1,1,232.84890378345207
14,1,1,232.57182986215358
14,1,1,232.3614377842955
14,1,1,230.40588913388825
15,1,1,240.0500030517578
15,1,1,241.7467412512526
15,1,1,240.74758043116478
15,1,1,240.26699866775868
15,1,1,241.2064553885625
16,1,1,238.77999877929687
16,1,1,239.88070215654514
16,1,1,238.22807683384332
16,1,1,240.29738573997156
16,1,1,240.8201571349192
17,1,1,238.17999267578125
17,1,1,239.44036728412627
17,1,1,239.05291902210365
17,1,1,236.86244536029002
17,1,1,237.5423262000091
18,1,1,238.39999389648437
18,1,1,237.15021752830538
18,1,1,237.37287809157198
18,1,1,238.27646806420753
18,1,1,240.96836995911653
19,1,1,239.9199981689453
19,1,1,241.44877846986887
19,1,1,241.55314433231294
19,1,1,240.0013161615568
19,1,1,239.72876863460976
20,1,1,238.77999877929687
20,1,1,238.30858882322892
20,1,1,239.47833082562394
20,1,1,239.33586018275886
20,1,1,238.92380337070648
21,1,1,238.69000244140625
21,1,1,237.59302541890568
21,1,1,238.54565630130742
21,1,1,236.28362242367177
21,1,1,238.667743301384
22,1,1,238.97000122070312
22,1,1,238.58554825934445
22,1,1,238.38348602206162
22,1,1,240.1934620293496
22,1,1,240.2255286272242
23,1,1,238.64999389648437
23,1,1,238.44023192896935
23,1,1,239.5451527985557
23,1,1,238.7832964972524
23,1,1,237.26343455183178
24,1,1,238.8300018310547
24,1,1,239.82450878537605
24,1,1,237.96659148426326
24,1,1,237.86333100049674
24,1,1,237.88878895456438
25,1,1,238.75
25,1,1,237.98897834794585
25,1,1,239.10161061479502
25,1,1,238.0088248522201
25,1,1,238.26630171063385
26,1,1,238.5500030517578
26,1,1,239.61571632237434
26,1,1,238.64114311908966
26,1,1,239.57438147205752
26,1,1,238.24404519054397
27,1,1,237.6699981689453
27,1,1,238.15455773605655
27,1,1,236.99613289109078
27,1,1,238.54850171412284
27,1,1,237.3836335887845
28,1,1,237.3699951171875
28,1,1,238.12942327302238
28,1,1,236.80656688807628
28,1,1,237.09153066776028
28,1,1,236.9394793122162
29,1,1,234.3800048828125
29,1,1,233.77225711651553
29,1,1,232.71435226534737
29,1,1,234.38424157811002
29,1,1,234.29087004095447
30,1,1,236.02999877929687
30,1,1,236.27078249093333
30,1,1,234.47485560867614
30,1,1,235.88903162409298
30,1,1,237.500877971239
31,1,1,239.02999877929687
31,1,1,240.16922702059398
31,1,1,238.2197513869567
31,1,1,239.35744117489423
31,1,1,240.15999338271448
32,1,1,238.47999572753906
32,1,1,238.3850937955406
32,1,1,239.31335192282398
32,1,1,238.0452753625086
32,1,1,238.59869787466732
33,1,1,239.02000427246094
33,1,1,240.5267561774461
33,1,1,240.08078160088414
33,1,1,238.63830054402177
33,1,1,238.8120817950032
34,1,1,237.97000122070312
34,1,1,237.8787746639415
34,1,1,237.47717899638147
34,1,1,236.6852847946961
34,1,1,237.66062144554445
35,1,1,238.0399932861328
